London-Road,South-Willesborough,Collyhurst-Weir,Alfoldean,Denham-Lodge,Kirkby,Morwick,Ower,Great-Corby,Elm-Park-(Bretons-Farm)
0.265,0.14,0.886,0.2,0.2,0.496,4.16,0.164,16.4,0.101
0.244,0.134,0.88,0.186,0.199,0.489,3.02,0.159,13.3,0.099
0.236,0.208,0.982,0.177,0.199,0.708,2.69,0.158,12.6,0.099
0.349,0.154,1.75,0.203,0.197,0.759,3.23,0.16,19.8,0.101
0.341,0.148,1.27,0.172,0.195,0.724,4.6,0.155,21,0.096
0.281,0.072,1,0.18,0.208,0.544,4.71,0.163,22.1,0.204
0.251,0.099,0.958,0.182,0.201,0.506,3.24,0.166,16.9,0.145
0.268,0.122,1.05,0.185,0.197,0.5,2.86,0.163,16.6,0.106
0.245,0.202,0.957,0.167,0.195,0.489,28,0.156,18,0.099
0.247,0.117,0.937,0.164,0.199,0.471,18.9,0.147,17,0.094
0.228,0.115,0.945,0.165,0.199,0.491,8.64,0.148,16.3,0.096
0.247,0.117,1.07,0.157,0.201,0.478,6.11,0.153,14.8,0.089
0.368,0.176,1.44,4.65,0.229,0.636,5.28,0.192,14.8,0.838
0.261,0.125,1.05,1.56,0.212,0.483,5.05,0.171,16.8,0.32
0.579,0.1,2.89,0.584,0.21,2.29,4.38,0.161,16.4,0.146
1.38,0.139,3.13,1.79,0.231,2.2,7.66,0.206,99.9,0.498
0.957,0.417,2.44,7.88,0.285,4.51,19.8,0.379,54.4,1.03
0.734,0.229,1.63,3.97,0.259,3.51,58.5,0.327,190,0.311
0.545,0.166,1.42,1.21,0.241,1.67,20.1,0.254,67.3,0.168
0.726,0.074,1.69,0.704,0.228,1.29,12.8,0.238,54.7,0.132
0.395,0.125,1.09,0.521,0.224,0.865,9.42,0.195,42.7,0.114
3.01,0.131,5.25,0.66,0.269,4.58,9.61,0.215,77.6,0.209
1.16,0.292,2.17,1.19,0.273,3.2,16.3,0.37,122,0.268
2.02,0.191,3.53,1.51,0.256,4.6,29.2,0.337,100,0.177
2.7,0.506,4.36,2.35,0.263,4.7,35,0.47,147,0.295
1.83,1.45,2.83,5.08,0.273,3.38,22.1,0.51,103,0.376
0.837,0.5,1.63,2.52,0.255,1.69,11.7,0.348,65.7,0.209
0.966,0.279,2.7,2.25,0.249,1.2,9.17,0.331,55.9,0.18
0.619,0.352,1.59,2.31,0.258,2.09,7.82,0.282,46.1,0.22
0.995,0.334,2.17,2.57,0.262,4.67,6.74,0.288,41.9,0.163
0.603,0.253,1.4,1.17,0.247,1.75,5.81,0.25,38.3,0.124
0.555,0.226,1.64,0.813,0.237,2.98,5.35,0.231,44.5,0.115
2.35,0.195,4.14,0.791,0.23,10.3,14,0.222,88.9,0.122
0.803,0.123,1.75,0.673,0.228,4.45,7.9,0.208,53.1,0.113
3.55,0.185,6.45,4.12,0.319,6.88,17.3,0.264,94.4,0.391
1.25,0.621,2.14,2.91,0.291,3.65,17.3,0.246,74.3,0.228
4.16,1.34,8.18,21.6,0.369,9.52,30.6,2.61,97.8,2.22
5.61,3.13,9,22.4,0.397,8.54,22.2,2.2,110,1.1
1.76,5.06,3.21,21.9,0.417,3.76,36.1,2.78,89.9,0.815
1.06,10.6,1.87,26.6,0.364,2.84,21.4,1.07,77.1,0.676
0.779,5.5,1.43,4.7,0.331,2.53,12.9,0.518,58.2,0.398
0.775,2.79,1.77,2.68,0.313,2.75,10.4,0.408,52,0.283
0.67,2.41,1.41,1.81,0.304,1.8,8.64,0.361,46.5,0.243
0.64,2.17,1.32,2.78,0.307,2.61,7.55,0.315,38.6,0.659
1,1.73,2.37,2.27,0.297,3.02,6.65,0.3,33.7,0.404
0.922,1.84,1.93,3.47,0.319,2.22,7.33,0.643,61.5,0.599
0.6,2.05,1.44,2.77,0.29,1.43,6.7,0.418,52.1,0.464
0.545,3.23,1.51,14.4,0.389,1.3,5.99,0.433,45.1,1.72
0.494,3.75,1.33,19.6,0.427,1.03,5.62,0.604,39.8,1.41
0.457,2.35,1.36,5.02,0.361,0.994,5.07,0.434,33.7,0.587
0.581,1.54,2.05,4.83,0.35,1.25,5.1,0.418,73.8,0.422
1.26,0.933,3.47,4.02,0.341,1.66,6.13,0.362,94.5,0.329
1.42,0.777,3.38,2.92,0.324,2.44,15,0.367,182,0.271
1.33,0.638,2.74,2.65,0.309,2.84,8.02,0.335,84.5,0.234
1.9,0.737,3.71,2.54,0.32,4.6,6.61,0.39,76.1,0.348
1.71,2.29,3.4,10.1,0.48,5.34,16.6,5.03,150,1.42
4.27,5.24,8.57,18,0.672,8.59,25.8,4.76,185,3.03
6.18,11.2,9.85,44.3,1.12,14.2,32.4,12.7,205,8.91
2.59,8.33,4.66,9.37,0.775,7.39,14.1,2.95,124,1.32
2.82,4.97,5.15,4.36,0.634,4.15,20.9,1.28,136,0.699
2.92,11.6,5.75,33.1,0.884,8.81,37.6,7.51,181,2.8
3.07,7.42,6.93,8.92,0.721,8.9,41.6,2.19,161,0.922
2.54,3.8,4.27,3.97,0.595,6.42,15.4,1.03,101,0.551
2.37,7.8,4.33,30.3,0.696,11.4,12.1,10.9,80.8,1.85
3.63,13.9,6.16,44.8,0.98,9.96,187,13.9,232,3.07
2.54,16.4,3.81,15.7,0.83,5.24,215,5.91,157,1.44
1.94,6.68,2.53,5.53,0.689,4.2,172,2.4,130,0.974
1.27,3.29,1.88,3.54,0.61,3.57,45.7,1.25,82.2,0.6
1.11,2.95,2.07,2.54,0.561,3.17,25.3,0.982,63.4,0.525
1.26,3.19,2.19,8.13,0.638,3.79,21.2,5.58,91.9,0.712
1.49,6,2.47,11.5,0.638,3.11,22.8,5.18,160,0.931
1.08,3.31,1.69,4.18,0.574,2.25,16.7,2.15,129,0.531
1.28,4.48,2.69,2.98,0.542,2.18,13.1,2.35,85,0.407
1.32,3.38,3.22,2.38,0.532,2.9,11.5,1.58,68.6,0.359
2.49,4.16,5.8,6.86,0.58,10.3,16.1,3.98,77.3,1.39
2.29,2.94,3.83,3.51,0.553,7.58,11.6,1.6,80.4,0.661
2.27,2.83,5.69,2.78,0.558,6.12,10.2,1.25,75.2,0.541
2.2,2.77,3.45,2.94,0.586,6.79,10.3,1.48,83.5,1.97
1.79,2.71,2.38,2.46,0.564,7.9,8.9,1.19,57.6,1.01
1.51,6.15,3.82,5.62,0.582,5.26,8.34,2.39,49,1.14
2.14,5.3,3.71,7.77,0.572,5.16,15.5,2.49,47.9,0.938
1.9,4.61,3.31,9.04,0.59,3.69,11.3,2,45.7,1.05
1.58,3.15,2.63,5.17,0.569,2.93,9.16,1.71,41.7,0.782
1.62,4.08,4.62,9.66,0.644,4.89,13.1,5.27,80.8,1.08
2.39,2.97,7.74,5.53,0.614,5.16,13.6,3.12,135,0.757
2.03,3.69,4.01,5.05,0.671,3.41,11.7,3.52,97.3,2.18
2.04,2.98,3.73,6.59,0.716,3.48,34.8,4.08,238,1.84
1.56,2.89,2.3,5.55,0.668,2.41,26.3,2.26,128,0.896
1.19,4.82,2,6.59,0.661,1.97,14.6,2.31,94,0.666
1.07,4.14,1.88,31.4,0.755,1.83,13.1,10.7,114,2
0.924,2.92,1.47,7.48,0.723,1.52,12.2,4.25,111,0.954
0.819,3.88,1.33,4.49,0.693,1.3,11.6,3.4,94.4,0.636
0.799,3.11,1.79,17.6,0.797,1.48,28.9,12.1,188,0.745
0.929,2.77,2.66,7.29,0.805,1.49,23,7.31,176,0.612
1.1,2.61,1.62,6.16,0.789,1.31,17,4.95,120,0.528
0.878,4.64,1.8,17.1,0.9,3.69,28.3,10.3,91.7,1.74
1.62,4.07,3.34,20.4,1.06,4.62,89.1,8.56,183,1.76
1.31,4,2.48,11.7,0.927,2.68,38.1,4.76,233,1.2
1.99,5.69,4.07,27,1.13,3.76,26.1,7.28,199,1.93
4.37,4.08,7.5,12.5,1.04,4.96,19.5,4.98,155,1.08
